               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,     train/lmmd_loss,       train/fg_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,       val/lmmd_loss,         val/fg_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11131,            0.025836,            0.017249,                   0,             0.64874,             0.00031,            0.050926,          0.00018274,          2.5984e-05,             0.11869,            0.018035,            0.015354,                   0,                   0,            0.097723,             2.3e-05,             2.3e-05
                   1,             0.12428,            0.023043,            0.015528,                   0,             0.68297,          0.00028935,            0.055556,          0.00017052,          3.5957e-05,             0.11499,            0.016657,            0.014623,                   0,                   0,            0.095347,          4.6999e-05,          4.6999e-05
                   2,             0.10528,             0.02317,            0.014734,                   0,              0.7035,          0.00046995,            0.097222,          0.00034461,          5.9907e-05,             0.11216,             0.01603,            0.014115,                   0,                   0,            0.092971,          7.0993e-05,          7.0993e-05
                   3,            0.098372,            0.048513,            0.012071,                   0,             0.62571,          0.00051249,             0.11111,          0.00059116,          0.00011112,             0.11047,             0.01558,            0.013655,                   0,                   0,            0.090595,          9.4979e-05,          9.4979e-05
                   4,            0.087443,            0.015653,           0.0095644,                   0,             0.59917,          0.00093404,             0.17339,           0.0022208,          0.00041997,              0.1074,            0.015583,            0.013279,                   0,                   0,            0.088219,          0.00011895,          0.00011895
                   5,             0.11351,            0.047413,            0.018098,                   0,             0.66449,          0.00092109,             0.16876,           0.0039756,          0.00085449,               0.106,            0.015548,            0.013038,                   0,                   0,            0.085843,          0.00014291,          0.00014291
                   6,             0.10243,            0.011706,            0.013757,                   0,             0.65215,           0.0010128,             0.18728,           0.0089839,           0.0023083,             0.10404,            0.015683,            0.012765,                   0,                   0,            0.083467,          0.00016685,          0.00016685
                   7,            0.096635,            0.037681,            0.011046,                   0,             0.69085,           0.0010848,             0.20117,             0.02091,           0.0056859,             0.10201,            0.015857,             0.01254,                   0,                   0,            0.081091,          0.00019077,          0.00019077
                   8,            0.092317,           0.0096437,            0.010029,                   0,             0.60835,           0.0011557,             0.21506,             0.06864,            0.018088,            0.099054,            0.016007,            0.012294,                   0,                   0,            0.078715,          0.00021466,          0.00021466
                   9,            0.087599,            0.038511,            0.012677,                   0,             0.65399,          0.00095789,             0.22222,            0.076344,            0.018065,            0.099048,            0.015944,            0.012185,                   0,                   0,            0.076339,          0.00023852,          0.00023852
