               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,     train/lmmd_loss,       train/fg_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,       val/lmmd_loss,         val/fg_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11166,             0.02648,            0.017017,                   0,             0.64928,          0.00030906,            0.051887,          0.00018257,          2.5945e-05,              0.1193,            0.018086,            0.015298,                   0,                   0,            0.097723,             2.3e-05,             2.3e-05
                   1,             0.11185,            0.022357,            0.013975,                   0,             0.68181,           0.0002637,            0.051887,          0.00016032,          3.2119e-05,             0.11588,            0.016707,            0.014545,                   0,                   0,            0.095347,          4.6999e-05,          4.6999e-05
                   2,             0.11108,            0.027811,            0.015676,                   0,             0.70152,          0.00044605,             0.09434,          0.00034089,          6.0114e-05,             0.11294,            0.016075,            0.014088,                   0,                   0,            0.092971,          7.0993e-05,          7.0993e-05
                   3,            0.097081,            0.055111,            0.012275,                   0,              0.6244,          0.00065277,             0.11523,           0.0006695,          0.00013698,             0.11071,            0.015673,            0.013661,                   0,                   0,            0.090595,          9.4979e-05,          9.4979e-05
                   4,            0.085446,            0.017121,           0.0094658,                   0,             0.59933,           0.0008723,              0.1624,           0.0018757,          0.00037587,             0.10763,            0.015697,            0.013265,                   0,                   0,            0.088219,          0.00011895,          0.00011895
                   5,             0.10634,            0.050282,            0.014907,                   0,             0.66459,          0.00090075,             0.16712,           0.0034196,          0.00075811,             0.10627,            0.015692,            0.013037,                   0,                   0,            0.085843,          0.00014291,          0.00014291
                   6,            0.070069,           0.0093142,           0.0062235,                   0,             0.65243,          0.00081913,             0.18868,            0.013326,           0.0038655,             0.10266,            0.016012,            0.012701,                   0,                   0,            0.083467,          0.00016685,          0.00016685
                   7,             0.08767,            0.036544,            0.010101,                   0,             0.68999,           0.0010863,             0.20485,            0.043311,            0.009087,             0.10001,            0.016173,            0.012408,                   0,                   0,            0.081091,          0.00019077,          0.00019077
                   8,            0.092905,           0.0095587,            0.010155,                   0,             0.60758,          0.00090489,             0.21226,              0.1087,            0.026223,            0.097575,            0.016237,            0.012171,                   0,                   0,            0.078715,          0.00021466,          0.00021466
                   9,            0.079682,            0.035423,           0.0092541,                   0,             0.65358,           0.0012176,             0.22844,             0.15439,            0.041175,            0.096101,            0.016292,            0.012044,                   0,                   0,            0.076339,          0.00023852,          0.00023852
                  10,            0.066798,            0.036568,           0.0082114,                   0,             0.62869,           0.0010134,             0.24057,             0.17076,             0.05264,            0.093362,            0.016408,            0.011894,                   0,                   0,            0.073962,          0.00026235,          0.00026235
