               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,     train/lmmd_loss,       train/fg_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,       val/lmmd_loss,         val/fg_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090032,            0.015379,            0.012705,                   0,             0.65595,                   0,                   0,                   0,                   0,              0.0853,            0.026039,            0.011964,                   0,                   0,            0.097426,             2.6e-05,             2.6e-05
                   1,            0.081916,            0.011606,            0.010283,                   0,             0.62928,                   0,                   0,                   0,                   0,            0.083371,            0.025676,            0.011406,                   0,                   0,            0.094753,          5.2999e-05,          5.2999e-05
                   2,             0.11857,             0.01143,            0.019897,                   0,             0.64027,                   0,                   0,                   0,                   0,            0.081669,            0.026317,            0.010851,                   0,                   0,             0.09208,          7.9992e-05,          7.9992e-05
                   3,            0.091623,           0.0088392,            0.013391,                   0,             0.62896,                   0,                   0,                   0,                   0,            0.080317,            0.027054,            0.010476,                   0,                   0,            0.089407,          0.00010698,          0.00010698
                   4,            0.078267,            0.014907,             0.01007,                   0,             0.63067,                   0,                   0,                   0,                   0,            0.078594,            0.028351,            0.010115,                   0,                   0,            0.086734,          0.00013395,          0.00013395
                   5,             0.04601,           0.0082545,            0.004493,                   0,             0.60758,                   0,                   0,                   0,                   0,            0.077296,            0.029268,           0.0098776,                   0,                   0,            0.084061,           0.0001609,           0.0001609
                   6,            0.077728,            0.014702,             0.00882,                   0,              0.6234,                   0,                   0,                   0,                   0,            0.075354,            0.030567,           0.0095435,                   0,                   0,            0.081388,          0.00018783,          0.00018783
                   7,            0.066833,           0.0095552,            0.010091,                   0,             0.61851,                   0,                   0,                   0,                   0,            0.073653,            0.031873,           0.0092358,                   0,                   0,            0.078715,          0.00021474,          0.00021474
                   8,             0.10258,           0.0094044,            0.016504,                   0,             0.63577,                   0,                   0,                   0,                   0,            0.071928,            0.033012,           0.0089241,                   0,                   0,            0.076042,          0.00024162,          0.00024162
                   9,             0.10759,            0.016867,            0.018423,                   0,             0.63439,           3.299e-05,           0.0011442,            1.66e-05,            1.66e-06,            0.070509,            0.034059,           0.0086229,                   0,                   0,            0.073368,          0.00026846,          0.00026846
                  10,            0.072008,            0.014385,           0.0084375,                   0,             0.63393,           0.0012563,            0.043478,          0.00068407,           0.0001646,            0.068733,            0.035247,           0.0081834,                   0,                   0,            0.070695,          0.00029527,          0.00029527
                  11,             0.07011,            0.020819,           0.0089266,                   0,             0.64041,           0.0024977,            0.088101,           0.0014734,          0.00037879,            0.066632,            0.036778,           0.0078745,                   0,                   0,            0.068022,          0.00032204,          0.00032204
                  12,            0.072803,            0.012874,           0.0096399,                   0,             0.62497,           0.0032673,             0.11556,           0.0020123,          0.00061857,            0.066452,            0.037277,           0.0075975,                   0,                   0,            0.065349,          0.00034876,          0.00034876
                  13,            0.063207,            0.018849,           0.0080951,                   0,             0.62679,           0.0069481,             0.24142,           0.0053616,             0.00185,            0.064744,            0.038509,           0.0073659,                   0,                   0,            0.062675,          0.00037543,          0.00037543
                  14,            0.073315,            0.017243,            0.011739,                   0,             0.60714,           0.0084143,             0.29519,            0.010607,           0.0037061,            0.062809,            0.039837,           0.0071269,                   0,                   0,            0.060002,          0.00040205,          0.00040205
                  15,            0.088415,            0.017384,            0.015242,                   0,             0.62277,           0.0096789,             0.33524,            0.023819,           0.0078347,            0.061778,            0.041049,           0.0069113,                   0,                   0,            0.057329,          0.00042861,          0.00042861
                  16,            0.076182,            0.018611,            0.015104,                   0,             0.60945,            0.010232,             0.36156,            0.063047,            0.019259,            0.060626,            0.042195,           0.0067076,                   0,                   0,            0.054655,          0.00045511,          0.00045511
                  17,             0.04929,            0.009487,           0.0060717,                   0,              0.6091,             0.01022,             0.36384,             0.13121,            0.042494,            0.059539,             0.04334,           0.0065355,                   0,                   0,            0.051982,          0.00048155,          0.00048155
                  18,            0.074935,           0.0082595,            0.011839,                   0,             0.58415,            0.010322,             0.37414,             0.18161,            0.058288,             0.05864,            0.044164,           0.0063148,                   0,                   0,            0.049308,          0.00050792,          0.00050792
