               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,     train/lmmd_loss,       train/fg_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,       val/lmmd_loss,         val/fg_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11299,            0.047862,            0.017114,                   0,             0.64441,                   0,                   0,                   0,                   0,            0.084111,            0.023775,            0.011169,                   0,                   0,            0.097228,             2.8e-05,             2.8e-05
                   1,             0.10638,            0.032309,            0.014994,                   0,              0.6308,          6.1054e-05,           0.0028169,          3.0745e-05,          4.6074e-06,            0.081645,            0.023745,            0.010162,                   0,                   0,            0.094357,          5.6999e-05,          5.6999e-05
                   2,            0.085499,            0.029105,           0.0097808,                   0,             0.60253,           5.572e-05,           0.0028169,           2.812e-05,           2.812e-06,            0.079658,            0.024169,           0.0092368,                   0,                   0,            0.091486,          8.5992e-05,          8.5992e-05
                   3,            0.091121,            0.030439,            0.011402,                   0,             0.61991,          0.00015852,           0.0084507,          8.0658e-05,          1.8729e-05,            0.078064,            0.024509,           0.0084155,                   0,                   0,            0.088615,          0.00011497,          0.00011497
                   4,            0.077855,            0.032246,            0.008271,                   0,             0.61204,          0.00053893,            0.029577,          0.00028565,          8.8416e-05,            0.076547,            0.024862,            0.007885,                   0,                   0,            0.085744,          0.00014394,          0.00014394
                   5,            0.099005,            0.037023,           0.0098302,                   0,             0.62259,          0.00090217,            0.050704,          0.00050707,          0.00014142,            0.074957,             0.02513,            0.007424,                   0,                   0,            0.082873,          0.00017289,          0.00017289
                   6,            0.076326,            0.037903,           0.0069987,                   0,               0.611,           0.0012419,            0.070423,          0.00080595,          0.00023121,            0.072933,            0.025493,           0.0069846,                   0,                   0,            0.080002,          0.00020182,          0.00020182
                   7,            0.096742,            0.039557,           0.0088279,                   0,             0.60834,           0.0031554,             0.18169,           0.0032368,          0.00074116,            0.070145,            0.026286,           0.0064975,                   0,                   0,            0.077131,          0.00023072,          0.00023072
                   8,             0.08469,            0.042379,           0.0073071,                   0,             0.61168,           0.0049543,             0.29296,            0.024681,           0.0055343,            0.067066,            0.026737,           0.0060384,                   0,                   0,             0.07426,          0.00025959,          0.00025959
                   9,            0.082517,            0.049544,           0.0070067,                   0,             0.62671,           0.0056254,             0.33662,             0.10309,            0.024963,            0.064062,            0.027028,           0.0055987,                   0,                   0,            0.071388,          0.00028842,          0.00028842
                  10,            0.083598,            0.070502,            0.010447,                   0,              0.6259,           0.0058683,             0.35211,             0.16972,            0.045105,            0.061895,            0.026906,           0.0052485,                   0,                   0,            0.068517,          0.00031722,          0.00031722
                  11,            0.095268,            0.053983,            0.007411,                   0,             0.63506,            0.087949,             0.35352,              0.2498,            0.069875,             0.05979,             0.02628,           0.0049436,                   0,                   0,            0.065646,          0.00034597,          0.00034597
                  12,            0.092593,            0.027039,            0.015693,                   0,              0.6029,             0.83251,              0.2493,              0.2811,             0.08791,             0.05835,            0.025491,           0.0047154,                   0,                   0,            0.062775,          0.00037467,          0.00037467
                  13,            0.077259,            0.026709,           0.0079556,                   0,             0.59888,             0.82609,             0.32219,             0.31627,             0.11738,            0.057012,             0.02422,           0.0044481,                   0,                   0,            0.059903,          0.00040331,          0.00040331
                  14,            0.068547,            0.035977,           0.0044274,                   0,             0.60645,             0.82859,             0.31831,             0.32407,             0.12799,            0.055304,            0.022952,           0.0041973,                   0,                   0,            0.057032,           0.0004319,           0.0004319
                  15,            0.074147,            0.037621,           0.0051402,                   0,             0.61432,             0.84558,             0.32113,             0.33283,             0.12868,            0.053722,            0.020997,           0.0039194,                   0,                   0,             0.05416,          0.00046043,          0.00046043
                  16,            0.071174,            0.041804,           0.0059204,                   0,             0.61485,             0.87167,             0.33449,              0.3544,             0.15916,            0.051913,            0.018873,           0.0036336,                   0,                   0,            0.051289,           0.0004889,           0.0004889
                  17,            0.069378,            0.031428,           0.0048748,                   0,             0.61475,              0.8045,             0.30055,              0.3117,             0.11893,            0.051051,            0.017422,           0.0034197,                   0,                   0,            0.048417,          0.00051729,          0.00051729
