               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,     train/lmmd_loss,       train/fg_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,       val/lmmd_loss,         val/fg_loss,               x/lr0,               x/lr1,               x/lr2
                  29,            0.053517,            0.012037,           0.0068229,                   0,             0.60511,            0.012508,             0.49688,             0.23257,            0.076699,            0.052182,            0.048709,           0.0052828,                   0,                   0,            0.019892,          0.00079234,          0.00079234
                  30,            0.048777,            0.019501,           0.0059886,                   0,             0.60623,            0.013265,             0.51432,             0.21246,            0.065575,            0.051481,            0.048627,           0.0052391,                   0,                   0,            0.017218,          0.00081759,          0.00081759
                  31,            0.046863,             0.01789,           0.0061751,                   0,             0.62595,            0.015752,             0.56207,             0.24819,            0.093244,            0.049864,              0.0485,           0.0052242,                   0,                   0,            0.014543,          0.00084272,          0.00084272
                  32,            0.050184,            0.018034,           0.0059951,                   0,              0.6025,            0.020169,             0.64597,             0.22569,            0.066041,            0.051516,            0.046918,           0.0051991,                   0,                   0,            0.011868,          0.00086772,          0.00086772
                  33,             0.03132,           0.0098511,           0.0074198,                   0,             0.60246,            0.020423,             0.66342,             0.26751,            0.092628,            0.048683,             0.04656,           0.0052213,                   0,                   0,           0.0091926,           0.0008926,           0.0008926
                  34,             0.04238,            0.015421,           0.0054601,                   0,             0.60794,            0.058817,             0.50497,             0.27331,            0.096749,            0.048974,            0.044463,            0.005219,                   0,                   0,           0.0065174,          0.00091736,          0.00091736
                  35,            0.060298,            0.016422,             0.01217,                   0,             0.60264,              0.6857,             0.35185,             0.30676,             0.10782,            0.049053,            0.042994,           0.0051649,                   0,                   0,            0.003842,          0.00094198,          0.00094198
                  36,            0.050686,            0.025211,           0.0071655,                   0,             0.62394,             0.86925,             0.23207,             0.30552,             0.11561,            0.048161,            0.040962,            0.005094,                   0,                   0,           0.0011665,          0.00096646,          0.00096646
                  37,            0.044524,            0.020971,           0.0079054,                   0,             0.59396,             0.83586,             0.25926,             0.32539,             0.13459,            0.048646,            0.038469,           0.0050015,                   0,                   0,          0.00096664,          0.00096664,          0.00096664
                  38,            0.026786,           0.0063684,           0.0043706,                   0,             0.61002,             0.81991,             0.28472,             0.34825,             0.13509,            0.047797,             0.03541,           0.0049109,                   0,                   0,          0.00096664,          0.00096664,          0.00096664
