               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,     train/lmmd_loss,       train/fg_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,       val/lmmd_loss,         val/fg_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11298,            0.047817,            0.017063,                   0,             0.64435,                   0,                   0,                   0,                   0,            0.084384,            0.023523,            0.011221,                   0,                   0,            0.097228,             2.8e-05,             2.8e-05
                   1,             0.10581,            0.032446,            0.014846,                   0,             0.63082,          6.1203e-05,           0.0028571,          3.0823e-05,           4.619e-06,            0.081987,             0.02345,            0.010184,                   0,                   0,            0.094357,          5.6999e-05,          5.6999e-05
                   2,            0.085436,            0.029218,            0.009764,                   0,             0.60229,          5.5813e-05,           0.0028571,          2.8179e-05,          2.8179e-06,            0.080058,            0.023853,           0.0092358,                   0,                   0,            0.091486,          8.5992e-05,          8.5992e-05
                   3,            0.092662,            0.030751,            0.011202,                   0,             0.61935,          0.00023832,            0.012857,          0.00012238,          2.6973e-05,            0.078526,            0.024015,           0.0083972,                   0,                   0,            0.088615,          0.00011497,          0.00011497
                   4,             0.07802,            0.030952,           0.0081404,                   0,             0.61185,          0.00053915,                0.03,          0.00028605,           8.711e-05,            0.077058,            0.024378,           0.0078484,                   0,                   0,            0.085744,          0.00014394,          0.00014394
                   5,             0.10047,              0.0376,           0.0098057,                   0,             0.62256,          0.00095252,            0.054286,          0.00054176,          0.00015025,            0.075523,             0.02454,           0.0073782,                   0,                   0,            0.082873,          0.00017289,          0.00017289
                   6,            0.076402,            0.037178,           0.0069581,                   0,               0.611,           0.0012906,            0.074286,          0.00084312,          0.00023732,            0.073584,             0.02497,            0.006942,                   0,                   0,            0.080002,          0.00020182,          0.00020182
                   7,            0.095556,            0.042632,           0.0088502,                   0,             0.60851,           0.0030325,             0.17714,           0.0029029,          0.00067196,            0.070923,            0.025498,            0.006454,                   0,                   0,            0.077131,          0.00023072,          0.00023072
                   8,            0.086015,            0.041745,           0.0072952,                   0,             0.61148,           0.0047983,             0.28714,             0.02149,           0.0047277,            0.067968,            0.025968,           0.0059935,                   0,                   0,             0.07426,          0.00025959,          0.00025959
                   9,            0.084382,            0.049051,           0.0069447,                   0,             0.62657,           0.0056135,                0.34,             0.10271,            0.024565,            0.065029,            0.026299,           0.0055428,                   0,                   0,            0.071388,          0.00028842,          0.00028842
                  10,            0.081029,            0.070324,            0.010433,                   0,              0.6258,           0.0059348,             0.36143,             0.17145,            0.045449,            0.062803,            0.026134,           0.0051897,                   0,                   0,            0.068517,          0.00031722,          0.00031722
                  11,            0.094132,            0.054186,           0.0074121,                   0,               0.635,              0.6443,             0.35286,             0.25816,            0.076807,            0.060516,            0.025639,           0.0048752,                   0,                   0,            0.065646,          0.00034597,          0.00034597
                  12,            0.093589,             0.02669,            0.015653,                   0,             0.60283,             0.82866,             0.24114,             0.28687,            0.091866,             0.05912,            0.024813,           0.0046454,                   0,                   0,            0.062775,          0.00037467,          0.00037467
                  13,            0.076905,            0.026694,           0.0079529,                   0,             0.59887,             0.82503,             0.31143,             0.31347,             0.11301,            0.057691,            0.023627,           0.0043824,                   0,                   0,            0.059903,          0.00040331,          0.00040331
                  14,            0.069356,            0.034335,           0.0044306,                   0,             0.60637,             0.84963,             0.31557,             0.33026,             0.12825,            0.055908,            0.022468,           0.0041323,                   0,                   0,            0.057032,           0.0004319,           0.0004319
                  15,            0.075015,            0.037322,           0.0051105,                   0,             0.61428,             0.85635,                0.32,             0.33781,              0.1331,            0.054156,            0.020721,           0.0038644,                   0,                   0,             0.05416,          0.00046043,          0.00046043
                  16,            0.069158,            0.042048,           0.0059411,                   0,             0.61459,             0.86676,             0.32714,             0.35052,             0.13952,            0.053642,            0.018655,           0.0035835,                   0,                   0,            0.051289,           0.0004889,           0.0004889
                  17,             0.06994,            0.031325,           0.0047113,                   0,             0.61464,             0.80662,             0.28714,             0.31593,             0.13128,            0.051318,            0.017241,           0.0033755,                   0,                   0,            0.048417,          0.00051729,          0.00051729
                  18,            0.060387,            0.025476,           0.0025958,                   0,             0.59841,             0.74281,             0.28857,             0.26539,            0.090236,            0.050273,            0.016302,           0.0031571,                   0,                   0,            0.045546,          0.00054562,          0.00054562
