               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,     train/lmmd_loss,       train/fg_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,       val/lmmd_loss,         val/fg_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085897,            0.016495,            0.011743,                   0,             0.66338,                   0,                   0,                   0,                   0,            0.085387,             0.02584,            0.012051,                   0,                   0,            0.097426,             2.6e-05,             2.6e-05
                   1,            0.083487,            0.015229,            0.011024,                   0,             0.62832,                   0,                   0,                   0,                   0,            0.083372,            0.025609,             0.01142,                   0,                   0,            0.094753,          5.2999e-05,          5.2999e-05
                   2,               0.128,            0.015081,            0.017152,                   0,             0.63103,                   0,                   0,                   0,                   0,            0.081078,            0.026395,            0.010842,                   0,                   0,             0.09208,          7.9992e-05,          7.9992e-05
                   3,            0.083917,            0.016591,           0.0099753,                   0,             0.63095,                   0,                   0,                   0,                   0,            0.078843,            0.027756,            0.010269,                   0,                   0,            0.089407,          0.00010698,          0.00010698
                   4,            0.084715,           0.0086943,            0.011614,                   0,             0.61608,                   0,                   0,                   0,                   0,            0.077551,            0.028883,             0.00996,                   0,                   0,            0.086734,          0.00013395,          0.00013395
                   5,            0.074225,            0.026125,           0.0095203,                   0,              0.6235,                   0,                   0,                   0,                   0,            0.076036,            0.029867,           0.0096075,                   0,                   0,            0.084061,           0.0001609,           0.0001609
                   6,            0.078589,            0.011111,           0.0095829,                   0,             0.62821,                   0,                   0,                   0,                   0,            0.074311,            0.030891,           0.0092963,                   0,                   0,            0.081388,          0.00018783,          0.00018783
                   7,            0.096289,            0.020158,            0.013207,                   0,             0.62684,                   0,                   0,                   0,                   0,            0.072448,            0.032126,           0.0089671,                   0,                   0,            0.078715,          0.00021474,          0.00021474
                   8,            0.076816,           0.0079177,            0.010831,                   0,             0.61551,          0.00013332,           0.0046189,          6.7328e-05,           1.008e-05,            0.071038,            0.033061,           0.0086659,                   0,                   0,            0.076042,          0.00024162,          0.00024162
                   9,              0.0912,            0.017228,            0.014836,                   0,             0.63331,          0.00022803,           0.0080831,          0.00011591,          2.1418e-05,             0.06929,            0.034257,           0.0083469,                   0,                   0,            0.073368,          0.00026846,          0.00026846
                  10,            0.067947,            0.013178,           0.0086112,                   0,             0.62374,           0.0007544,            0.026559,          0.00039914,          0.00011239,            0.067635,            0.035348,           0.0079765,                   0,                   0,            0.070695,          0.00029527,          0.00029527
                  11,            0.091327,             0.01054,            0.011492,                   0,             0.62052,            0.002809,            0.098152,            0.001683,          0.00047155,            0.065885,            0.036432,           0.0076849,                   0,                   0,            0.068022,          0.00032204,          0.00032204
                  12,            0.093779,            0.017332,            0.011419,                   0,             0.62647,           0.0042659,             0.14896,           0.0027812,          0.00092941,            0.065243,            0.037198,           0.0074107,                   0,                   0,            0.065349,          0.00034876,          0.00034876
                  13,            0.076787,            0.018969,           0.0094221,                   0,             0.61621,           0.0067374,             0.23903,           0.0052326,            0.001925,            0.063903,            0.038151,           0.0071919,                   0,                   0,            0.062675,          0.00037543,          0.00037543
                  14,            0.083955,            0.016089,            0.012307,                   0,             0.62006,           0.0080682,             0.28868,            0.010849,           0.0036091,            0.062847,            0.038906,           0.0070367,                   0,                   0,            0.060002,          0.00040205,          0.00040205
                  15,            0.061174,            0.011996,           0.0069112,                   0,             0.60728,           0.0087034,              0.3164,            0.022479,           0.0074909,            0.061902,            0.039784,           0.0068523,                   0,                   0,            0.057329,          0.00042861,          0.00042861
                  16,            0.088535,           0.0081253,            0.011797,                   0,             0.62394,           0.0093788,             0.34065,            0.054073,            0.017721,            0.061216,            0.040527,           0.0066856,                   0,                   0,            0.054655,          0.00045511,          0.00045511
                  17,            0.049979,            0.010297,           0.0064922,                   0,             0.62676,           0.0095208,             0.34873,            0.073511,            0.023945,            0.060659,            0.041154,             0.00659,                   0,                   0,            0.051982,          0.00048155,          0.00048155
                  18,            0.097976,             0.01393,            0.010277,                   0,             0.59466,           0.0096074,             0.34873,              0.1401,            0.045279,            0.059759,              0.0419,           0.0063785,                   0,                   0,            0.049308,          0.00050792,          0.00050792
                  19,            0.082691,           0.0066221,           0.0099351,                   0,              0.6056,           0.0096729,              0.3545,             0.19085,            0.065899,            0.058466,            0.043201,           0.0062187,                   0,                   0,            0.046634,          0.00053421,          0.00053421
                  20,            0.070905,            0.010344,            0.010848,                   0,             0.60882,           0.0081562,             0.30485,             0.16679,            0.047077,            0.059254,             0.04381,           0.0061111,                   0,                   0,             0.04396,          0.00056043,          0.00056043
                  21,            0.069076,            0.027795,            0.012322,                   0,             0.62164,           0.0093572,             0.35335,             0.22231,            0.076273,            0.056938,            0.045115,           0.0059839,                   0,                   0,            0.041287,          0.00058657,          0.00058657
                  22,             0.06682,            0.011844,            0.012831,                   0,             0.63559,            0.009426,             0.36258,             0.23196,            0.085276,            0.056705,            0.045403,            0.005888,                   0,                   0,            0.038613,          0.00061263,          0.00061263
                  23,            0.066109,            0.028154,            0.014663,                   0,             0.61485,           0.0097413,             0.37644,             0.24865,            0.089664,            0.055237,            0.046741,           0.0058113,                   0,                   0,            0.035939,           0.0006386,           0.0006386
                  24,            0.048334,            0.021363,           0.0062804,                   0,             0.64086,            0.009455,             0.36835,             0.23208,             0.09266,            0.054948,            0.046704,           0.0056566,                   0,                   0,            0.033264,          0.00066447,          0.00066447
                  25,            0.076977,            0.034327,           0.0097745,                   0,              0.6137,            0.010176,             0.39143,             0.24467,            0.080445,            0.054508,              0.0471,           0.0055904,                   0,                   0,             0.03059,          0.00069025,          0.00069025
                  26,            0.064512,            0.015037,           0.0045547,                   0,             0.62249,            0.010203,             0.40646,             0.23965,            0.087074,            0.053413,            0.048067,           0.0054652,                   0,                   0,            0.027916,          0.00071593,          0.00071593
                  27,            0.055313,            0.013517,            0.004834,                   0,             0.60396,            0.010457,             0.41682,             0.21903,             0.06458,            0.053843,             0.04803,            0.005343,                   0,                   0,            0.025242,          0.00074151,          0.00074151
                  28,            0.037587,           0.0057078,            0.015099,                   0,             0.60535,            0.010881,             0.42949,             0.20904,            0.063525,            0.053229,            0.048357,           0.0052419,                   0,                   0,            0.022567,          0.00076698,          0.00076698
                  29,            0.053138,            0.016007,            0.014974,                   0,             0.60719,             0.01222,             0.47332,             0.27193,            0.083482,            0.051565,            0.048542,           0.0052313,                   0,                   0,            0.019892,          0.00079234,          0.00079234
                  30,              0.0597,            0.039454,            0.011857,                   0,             0.62128,            0.012392,             0.48025,             0.26911,            0.092977,            0.050713,            0.048015,           0.0051752,                   0,                   0,            0.017218,          0.00081759,          0.00081759
                  31,            0.048285,            0.018594,           0.0080825,                   0,             0.62078,            0.013152,             0.49523,             0.26538,            0.082605,            0.050568,            0.047526,           0.0051562,                   0,                   0,            0.014543,          0.00084272,          0.00084272
                  32,            0.033262,            0.010251,           0.0089019,                   0,             0.60087,            0.017473,             0.59087,             0.27636,             0.08722,            0.050063,            0.046738,           0.0052261,                   0,                   0,            0.011868,          0.00086772,          0.00086772
                  33,            0.088384,            0.008901,            0.013484,                   0,             0.61553,            0.018792,             0.62429,              0.2817,            0.094725,            0.049881,             0.04521,           0.0052654,                   0,                   0,           0.0091926,           0.0008926,           0.0008926
                  34,            0.054062,            0.024057,            0.010033,                   0,             0.62924,            0.060037,              0.4987,             0.28683,            0.089686,            0.050014,            0.043706,            0.005256,                   0,                   0,           0.0065174,          0.00091736,          0.00091736
                  35,            0.036138,            0.015699,           0.0045975,                   0,             0.60581,             0.11553,             0.40415,             0.29767,            0.093262,            0.049247,            0.042775,           0.0051965,                   0,                   0,            0.003842,          0.00094198,          0.00094198
                  36,            0.039647,            0.013954,           0.0055227,                   0,             0.61011,             0.68115,             0.30716,             0.28244,            0.094582,            0.050192,             0.04008,           0.0050787,                   0,                   0,           0.0011665,          0.00096646,          0.00096646
